id,552
photo,205533.jpg
web_name,Nketiah
team_code,3
status,a
code,205533
first_name,Edward
second_name,Nketiah
squad_number,49
news,
now_cost,50
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.0
value_season,0.2
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,2227
transfers_in,2789
transfers_out_event,6
transfers_in_event,19
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,1
event_points,0
points_per_game,1.0
ep_this,-0.5
ep_next,0.0
special,False
minutes,1
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,3
influence,0.0
creativity,0.0
threat,0.0
ict_index,0.0
ea_index,0
element_type,4
team,1
